Question Number,Section,Type,Question,Answer,Option1,Option2,Option3,Image,Difficulty
1,Vertex,Multi-choice,A vertex is a ____,point or object in a graph,line connecting two nodes in a graph,number assigned to an edge in a weighted graph,a loop,,
2,Vertex,Multi-choice,"If we simplify the map of a town into a graph containing only the locations and streets, the locations would be the ____ of the graph",vertices,edges,trees,levels,,
3,Vertex,Multi-choice,"If vertex A has no neighbours, then it is ____",adjacent,distinct,isolated,incident,,
4,Edge,Multi-choice,Which of the following is true?,A graph may contain no edges and many vertices,A graph may contain many edges and no vertices,A graph may contain no edges and no vertices,A graph may contain no vertices and many edges,,
5,Edge,True/False,An edge can connect more than two vertices,FALSE,TRUE,,,,
6,Edge,Fill,The ____ of a vertex is the number of edges connected to the vertex,degree,,,,,
7,Weighted Graphs,Multi-choice,What is the shortest possible path of this graph from A to E?,A > B > C > E,A > B > C > D > E ,A > C > D > E ,A > B > D > E,,
8,Weighted Graphs,Fill,What is the distance of path A > B > D > F,23,,,,,
9,Weighted Graphs,Multi-choice,"If we simplify the map of a town into a graph containing only the locations and streets, what would be the ""weight"" component of the graph?",Street lengths,Locations,Street names,Fast food restraunts,,
10,Weighted Graphs,True/False,The shortest path of a graph changes if the weights of all the edges is multiplied by 5,FALSE,TRUE,,,,
11,Directed Graphs,Multi-choice,How many of these graphs have a cycle?,2,0,3,1,,
12,Directed Graphs,True/False,All trees are directed graphs,TRUE,FALSE,,,,
13,Trees,Multi-choice,Which of the following statements about BINARY TREES is NOT true? ,Every binary tree has at least one node,Every non-empty tree has exactly one root node,Every node has at most two children,Every non-root node has exactly one parent,,
14,Trees,True/False,This is a binary tree,FALSE,TRUE,,,,
15,Trees,Multi-choice,How many internal nodes are there?,3,6,2,5,,
16,Root,Multi-choice,The root node of this tree is ____,A,B,C,D,,
17,Root,,,,,,,,
18,Parent,Multi-choice,What node is the parent of E?,B,C,D,A,,
19,Parent,True/False,Node B is the parent of Node E,TRUE,FALSE,,,,
20,Child,Fill,List all the children of node C,D F G,,,,,
21,Child,True/False,Vertex F is a child of vertex C,FALSE,TRUE,,,,
22,Leaves,Multi-choice,What are leaves?,Nodes with no children ,Nodes with only one child ,Nodes with no siblings,Nodes with no parents,,
23,Leaves,Multi-choice,How many leaves are on this tree?,3,4,0,2,,
24,Height,Fill,What is the minimum amount of possible nodes in a binary tree of height 67,68,,,,,
25,Height,Multi-choice,What is the maximum amount of possible nodes in a binary tree of height 4?,15,16,5,8,,
26,Height,Multi-choice,The maximum and minimum number of nodes in a binary tree of height 5 are ____,63 and 6,64 and 5,32 and 6,31 and 5,,
27,Depth,,,,,,,,
28,,,,,,,,,
29,Levels,Multi-choice,What is the level of node E?,3,2,4,5,,
30,,,,,,,,,